term,coef,pvalue
const,2.9806306818459785,2.3846554819678578e-05
BFC (%),-0.6965159090965889,0.3591970726721352
Temperature (°C),-4.835795446399304e-05,0.9687267360366816
Duration (min),-0.07514767045454936,0.0207056083820918
BFC (%)*Temperature (°C),-0.00048312500000000173,0.272938095606454
BFC (%)*Duration (min),0.005362499999999732,0.5400616239920039
Temperature (°C)*Duration (min),-5.1046875000004126e-05,5.129675630039503e-05
BFC (%)^2,0.8110909090964988,0.17958606395160054
Temperature (°C)^2,1.1985795451975252e-06,0.20364582632608144
Duration (min)^2,0.001039431818181821,0.008480994675926909
